#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100008	99289	99.28	47	0.05	11	0.01	71	0.07	590	0.59
Mouse	100008	99218	99.22	44	0.04	19	0.02	95	0.09	632	0.63
Rat	100008	99098	99.09	53	0.05	22	0.02	69	0.07	766	0.77
Drosophila	100008	99605	99.59	17	0.02	10	0.01	28	0.03	348	0.35
Worm	100008	99633	99.63	27	0.03	5	0.00	129	0.13	214	0.21
Yeast	100008	99441	99.43	6	0.01	17	0.02	11	0.01	533	0.53
Arabidopsis	100008	97649	97.64	850	0.85	671	0.67	78	0.08	760	0.76
Ecoli	100008	99991	99.99	2	0.00	5	0.00	0	0.00	10	0.01
rRNA	100008	99604	99.60	0	0.00	0	0.00	60	0.06	344	0.34
MT	100008	99954	99.95	0	0.00	0	0.00	51	0.05	3	0.00
PhiX	100008	100008	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100008	100008	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100008	99873	99.87	0	0.00	0	0.00	84	0.08	51	0.05
Adapters	100008	99903	99.89	12	0.01	10	0.01	16	0.02	67	0.07

%Hit_no_genomes: 97.03
