#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100008	99289	99.28	27	0.03	21	0.02	91	0.09	580	0.58
Drosophila	100008	99605	99.59	6	0.01	0	0.00	39	0.04	358	0.36
Yeast	100008	99441	99.43	0	0.00	16	0.02	17	0.02	534	0.53
Arabidopsis	100008	97649	97.64	41	0.04	4	0.00	887	0.89	1427	1.43
rRNA	100008	99604	99.60	0	0.00	0	0.00	60	0.06	344	0.34
Oriza	100008	98297	98.30	33	0.03	4	0.00	1121	1.12	553	0.55
Zea	100008	97941	97.93	50	0.05	8	0.01	440	0.44	1569	1.57
TheobromaCDS	100008	50351	50.35	893	0.89	354	0.35	34142	34.14	14268	14.27
Theobroma	100008	48626	48.62	1156	1.16	49	0.05	41767	41.76	8410	8.41
Herrania	100008	53545	53.54	3819	3.82	119	0.12	36042	36.04	6483	6.48
Gossypium	100008	73783	73.78	98	0.10	114	0.11	5873	5.87	20140	20.14
GossypiumCDS	100008	73427	73.41	89	0.09	236	0.24	4936	4.94	21320	21.32

%Hit_no_genomes: 37.18
