"Query Name","Query Length","Hit Name","Hit Length",Location,E-value,Function,Browse
AT1G01360.1,564,Tc01v2_t028880.1,561,chr1:33804221..33806200,8e-106,"Abscisic acid receptor PYL9","Gene Report JBrowse"
AT1G01360.1,564,Tc03v2_t024780.1,582,chr3:34975627..34978657,1e-90,"Abscisic acid receptor PYL8","Gene Report JBrowse"
AT1G01360.1,564,Tc03v2_t016070.1,573,chr3:29640265..29643238,1e-84,"Abscisic acid receptor PYL8","Gene Report JBrowse"
AT1G07890.3,753,Tc09v2_t028310.2,753,chr9:37129666..37131940,1e-174,"L-ascorbate peroxidase 2, cytosolic","Gene Report JBrowse"
AT1G07890.3,753,Tc09v2_t028310.1,753,chr9:37129659..37131940,1e-174,"L-ascorbate peroxidase 2, cytosolic","Gene Report JBrowse"
AT1G07890.3,753,Tc05v2_t004670.2,756,chr5:2489422..2494651,5e-141,"L-ascorbate peroxidase 2, cytosolic","Gene Report JBrowse"
AT1G07890.3,753,Tc05v2_t004670.1,741,chr5:2489422..2494651,2e-139,"L-ascorbate peroxidase 2, cytosolic","Gene Report JBrowse"
AT1G07890.3,753,Tc02v2_t004790.1,867,chr2:3041994..3047924,2e-25,"L-ascorbate peroxidase 3, peroxisomal","Gene Report JBrowse"
AT1G08810.1,843,Tc05v2_t020090.1,1137,chr5:34021713..34023509,9e-114,"Putative Myb-related protein 306","Gene Report JBrowse"
AT1G08810.1,843,Tc03v2_t007280.1,996,chr3:21519669..21521479,1e-80,"Myb-related protein 306","Gene Report JBrowse"
AT1G08810.1,843,Tc04v2_t006840.1,966,chr4:15152890..15154823,7e-77,"Myb-related protein 306","Gene Report JBrowse"
AT1G08810.1,843,Tc04v2_t007280.1,1206,chr4:16065894..16068396,2e-45,"Myb domain protein 106","Gene Report JBrowse"
AT1G08810.1,843,Tc02v2_t029420.1,1119,chr2:39977762..39979667,3e-43,"Myb domain protein 106, putative","Gene Report JBrowse"
AT1G08810.1,843,Tc05v2_t022720.1,699,chr5:36113351..36114752,4e-42,"Myb domain protein 15, putative","Gene Report JBrowse"
AT1G08810.1,843,Tc05v2_t017940.1,1077,chr5:32163412..32165144,9e-38,"Myb domain protein 107","Gene Report JBrowse"
AT1G08810.1,843,Tc03v2_t007620.1,1188,chr3:22220059..22221829,8e-32,"Myb domain 16-like protein","Gene Report JBrowse"
AT1G08810.1,843,Tc02v2_t014300.1,1053,chr2:9652511..9654105,1e-30,"MYB-like 102, putative","Gene Report JBrowse"
AT1G08810.1,843,Tc01v2_t030490.1,963,chr1:34725947..34728711,1e-29,"Myb domain protein 17 isoform 1","Gene Report JBrowse"
AT1G08810.1,843,Tc02v2_t029410.1,954,chr2:39964354..39965655,4e-29,"Putative Transcription factor MYB76","Gene Report JBrowse"
AT1G08810.1,843,Tc01v2_t021530.1,807,chr1:27440799..27442681,5e-28,"Putative Myb-related protein Myb4","Gene Report JBrowse"
AT1G08810.1,843,Tc08v2_t009010.1,1011,chr8:5261744..5263256,5e-28,"Myb domain protein 93","Gene Report JBrowse"
AT1G08810.1,843,Tc02v2_t029450.1,1107,chr2:40014563..40016754,5e-28,"Myb domain 16-like protein","Gene Report JBrowse"
AT1G08810.1,843,Tc02v2_t029430.1,1158,chr2:39986272..39988606,6e-27,"Myb domain protein 16, putative","Gene Report JBrowse"
AT1G08810.1,843,Tc03v2_t007600.1,1116,chr3:22167663..22169141,2e-26,"Uncharacterized protein","Gene Report JBrowse"
AT1G08810.1,843,Tc03v2_t025600.1,1026,chr3:35409532..35410925,8e-26,"Putative Transcription factor MYB39","Gene Report JBrowse"
AT1G08810.1,843,Tc04v2_t008730.1,783,chr4:18302832..18304011,3e-25,"Putative Myb-related protein 305","Gene Report JBrowse"
AT1G08810.1,843,Tc08v2_t009010.2,1017,chr8:5261744..5263256,1e-23,"Myb domain protein 93","Gene Report JBrowse"
AT1G08810.1,843,Tc05v2_t005830.1,1026,chr5:3408850..3411042,4e-23,"Myb domain protein 36","Gene Report JBrowse"
AT1G08810.1,843,Tc09v2_t029340.1,1005,chr9:37850130..37851796,4e-23,"Myb domain protein 36, putative","Gene Report JBrowse"
AT1G08810.1,843,Tc04v2_t020830.1,873,chr4:29164092..29166180,4e-23,"Putative Myb-related protein Myb4","Gene Report JBrowse"
AT1G08810.1,843,Tc01v2_t008620.1,957,chr1:5243088..5244379,5e-22,"Myb domain protein 93","Gene Report JBrowse"
AT1G08810.1,843,Tc04v2_t009300.1,924,chr4:19187433..19189861,5e-22,"Myb domain protein 20","Gene Report JBrowse"
AT1G08810.1,843,Tc03v2_t025610.1,1041,chr3:35414869..35416128,2e-21,"Putative Transcription factor MYB39","Gene Report JBrowse"
AT1G08810.1,843,Tc06v2_t009770.1,897,chr6:19896827..19898583,7e-20,"Putative Transcription factor TT2","Gene Report JBrowse"
AT1G08810.1,843,Tc03v2_t002680.1,936,chr3:2415186..2417520,9e-19,"Myb domain protein 62, putative","Gene Report JBrowse"
AT1G08810.1,843,Tc02v2_t004800.1,753,chr2:3049951..3051351,3e-18,"Myb-related protein 308","Gene Report JBrowse"
AT1G08810.1,843,Tc07v2_t005800.1,1068,chr7:4062290..4064035,1e-17,"MYB-like 102, putative","Gene Report JBrowse"
AT1G08810.1,843,Tc02v2_t014230.1,786,chr2:9478898..9480553,4e-17,"Myb domain protein 15, putative","Gene Report JBrowse"
AT1G08810.1,843,Tc07v2_t014610.1,747,chr7:17664375..17665272,4e-16,MYB21,"Gene Report JBrowse"
AT1G08810.1,843,Tc08v2_t015500.1,897,chr8:16915790..16917381,2e-15,"Transcription factor MYB3","Gene Report JBrowse"
AT1G08810.1,843,Tc04v2_t024300.1,624,chr4:31022220..31023732,2e-15,"Myb-related protein 308","Gene Report JBrowse"
AT1G08810.1,843,Tc09v2_t005480.1,927,chr9:3107102..3108731,5e-15,"Myb domain protein 4, putative","Gene Report JBrowse"
AT1G08810.1,843,Tc01v2_t004220.1,804,chr1:2229435..2230918,2e-14,"Putative Transcription factor MYB23","Gene Report JBrowse"
AT1G08810.1,843,Tc01v2_t030490.3,870,chr1:34725947..34727402,2e-14,"Myb domain protein 17 isoform 2","Gene Report JBrowse"
AT1G08810.1,843,Tc01v2_t030490.2,852,chr1:34725947..34727982,2e-14,"Myb domain protein 17 isoform 2","Gene Report JBrowse"
AT1G08810.1,843,Tc01v2_t028420.1,864,chr1:33467854..33469310,7e-14,"Myb domain protein 7, putative","Gene Report JBrowse"
AT1G08810.1,843,Tc09v2_t005470.1,897,chr9:3096888..3098447,7e-14,"Duplicated homeodomain-like superfamily protein","Gene Report JBrowse"
AT1G08810.1,843,Tc03v2_t023840.1,1533,chr3:34443573..34450661,7e-14,"40S ribosomal protein S10-1","Gene Report JBrowse"
AT1G08810.1,843,Tc09v2_t004330.1,951,chr9:2523861..2526399,2e-13,"Myb domain protein 84, putative","Gene Report JBrowse"
AT1G08810.1,843,Tc04v2_t009950.1,675,chr4:20286346..20287946,2e-13,"Transcription repressor MYB6","Gene Report JBrowse"
AT1G08810.1,843,Tc07v2_t002930.1,1758,chr7:1790846..1794198,3e-12,"Putative Myb-related protein 340","Gene Report JBrowse"
AT1G08810.1,843,Tc05v2_t020740.1,918,chr5:34601360..34603264,1e-11,"Transcription repressor MYB5","Gene Report JBrowse"
AT1G08810.1,843,Tc09v2_t006960.1,912,chr9:4111054..4112659,1e-11,"Putative Transcription factor TT2","Gene Report JBrowse"
AT1G08810.1,843,Tc02v2_t024360.1,714,chr2:34965936..34968201,1e-10,"Transcription repressor MYB4","Gene Report JBrowse"
AT1G08810.1,843,Tc06v2_t009310.2,1074,chr6:19480201..19482096,4e-10,MYB7,"Gene Report JBrowse"
AT1G08810.1,843,Tc06v2_t009310.1,1074,chr6:19479713..19482096,4e-10,MYB7,"Gene Report JBrowse"
AT1G08810.1,843,Tc08v2_t007020.1,1023,chr8:4026576..4028140,1e-09,"Myb domain protein 84","Gene Report JBrowse"
AT1G08810.1,843,Tc07v2_t015240.1,1014,chr7:20707165..20708773,1e-09,"Putative Transcription factor MYB26","Gene Report JBrowse"
AT1G08810.1,843,Tc07v2_t014620.1,735,chr7:17667750..17668707,2e-08,MYB21,"Gene Report JBrowse"
AT1G08810.1,843,Tc09v2_t014240.1,1131,chr9:11568621..11570259,6e-08,"Myb domain protein 36","Gene Report JBrowse"
AT1G08810.1,843,Tc02v2_t000180.1,1053,chr2:125685..127172,6e-08,"Putative Myb-related protein 308","Gene Report JBrowse"
AT1G08810.1,843,Tc04v2_t021880.1,798,chr4:29791720..29793138,6e-08,"Myb domain protein 79 isoform 2","Gene Report JBrowse"
AT1G08810.1,843,Tc03v2_t014550.1,888,chr3:28697488..28700030,6e-08,"Putative Transcription factor LAF1","Gene Report JBrowse"
AT1G08810.1,843,Tc09v2_t011250.1,756,chr9:7183913..7185290,2e-07,"Transcription factor MYB82","Gene Report JBrowse"
