#qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	db_hit_len	pct_hit_len_aligned	hit_descr
TRINITY_DN69091_c0_g1_i1	AT2G18960.1	80.426	2820	546	6	435	3251	10	2826	0	2145	2817	98.84	| Symbols:HA1,OST2,AHA1,PMA | H(+)-ATPase 1,PLASMA MEMBRANE PROTON ATPASE,OPEN STOMATA 2 | Chr2:8221858-8227268 FORWARD LENGTH=2850
TRINITY_DN84664_c0_g2_i1	AY250704.1_cds_AAP02957.1_1	80.609	1511	276	14	174	1675	28	1530	0	1151	1503	98.04	[gene=TP55] [protein=aldehyde dehydrogenase family 7 member A1] [protein_id=AAP02957.1] [location=38..1570] [gbkey=CDS]
TRINITY_DN84664_c0_g2_i4	AY250704.1_cds_AAP02957.1_1	79.895	1527	274	18	3	1520	28	1530	0	1088	1503	98.04	[gene=TP55] [protein=aldehyde dehydrogenase family 7 member A1] [protein_id=AAP02957.1] [location=38..1570] [gbkey=CDS]
TRINITY_DN79377_c0_g1_i1	AT4G33950.1	80.402	1046	198	6	786	1826	28	1071	0	789	1044	95.87	| Symbols:SNRK2.6,SRK2E,ATOST1,P44,SNRK2-6,OST1 | SNF1-RELATED PROTEIN KINASE 2.6,OPEN STOMATA 1,SUCROSE NONFERMENTING 1-RELATED PROTEIN KINASE 2-6 | Chr4:16272364-16274657 FORWARD LENGTH=1089
TRINITY_DN154255_c0_g1_i1	AT2G39800.1	77.494	2075	443	20	593	2655	2075	13	0	1223	2063	95.78	| Symbols:P5CS1,ATP5CS | delta1-pyrroline-5-carboxylate synthase 1 | Chr2:16598516-16602939 REVERSE LENGTH=2154
TRINITY_DN33996_c0_g1_i1	Y17186.1_cds_CAA76677.1_1	80.207	1162	219	10	445	1599	67	1224	0	861	1158	94.61	[gene=eIF-4A] [db_xref=GOA:O65879,HSSP:1FUK,InterPro:IPR001650,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR014014,InterPro:IPR014021,UniProtKB/TrEMBL:O65879] [protein=translation initiation factor] [protein_id=CAA76677.1] [location=80..1303] [gbkey=CDS]
TRINITY_DN33996_c0_g2_i1	Y17186.1_cds_CAA76677.1_1	80.207	1162	219	10	445	1599	67	1224	0	861	1158	94.61	[gene=eIF-4A] [db_xref=GOA:O65879,HSSP:1FUK,InterPro:IPR001650,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR014014,InterPro:IPR014021,UniProtKB/TrEMBL:O65879] [protein=translation initiation factor] [protein_id=CAA76677.1] [location=80..1303] [gbkey=CDS]
TRINITY_DN71155_c1_g1_i1	AT1G15690.1	81.983	2148	375	10	344	2485	163	2304	0	1812	2142	92.61	| Symbols:AtVHP1;1,AtAVP1,ATAVP3,AVP-3,AVP1,FUGU5,VHP1 | ARABIDOPSIS THALIANA V-PPASE 3,FUGU 5 | Chr1:5399115-5402185 FORWARD LENGTH=2313
TRINITY_DN72578_c0_g1_i1	AT1G15690.1	81.145	2148	393	12	363	2504	163	2304	0	1712	2142	92.61	| Symbols:AtVHP1;1,AtAVP1,ATAVP3,AVP-3,AVP1,FUGU5,VHP1 | ARABIDOPSIS THALIANA V-PPASE 3,FUGU 5 | Chr1:5399115-5402185 FORWARD LENGTH=2313
TRINITY_DN80425_c0_g1_i2	AT4G19230.2	77.276	1285	273	18	655	1930	1372	98	0	737	1275	87.63	"| Symbols:CYP707A1 | ""cytochrome P450, family 707, subfamily A, polypeptide 1"" | Chr4:10521524-10523566 FORWARD LENGTH=1455"
TRINITY_DN87042_c0_g1_i2	AT4G04720.1	75.965	1373	309	16	438	1801	1556	196	0	688	1361	85.28	| Symbols:AtCPK21,CPK21 | calcium-dependent protein kinase 21 | Chr4:2394817-2397631 REVERSE LENGTH=1596
TRINITY_DN87042_c0_g1_i1	AT4G04720.1	75.965	1373	309	16	440	1803	1556	196	0	688	1361	85.28	| Symbols:AtCPK21,CPK21 | calcium-dependent protein kinase 21 | Chr4:2394817-2397631 REVERSE LENGTH=1596
