Query	Subject	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
WYIG_grafted_with_CZPV-4757	Tc10v2_t008910.1	84.981	779	99	5	1	761	28	806	0	776
NHUA-6933	Tc09v2_t012770.1	82.524	515	84	6	1	512	97	608	3.84E-125	448
XFFT-6933	Tc09v2_t012770.1	81.312	503	94	0	1	503	97	599	1.81E-113	409
ZSAB_grafted_with_BXBF-6933	Tc09v2_t012770.1	79.681	502	95	5	13	512	112	608	2.39E-97	355
QUTB-5038	Tc05v2_t011290.2	85.122	699	102	2	2	699	596	1293	0	713
QUTB-5038	Tc05v2_t011290.1	85.122	699	102	2	2	699	593	1290	0	713
Theca-v1.1-5038	Tc05v2_t011290.2	100	699	0	0	1	699	595	1293	0	1291
Theca-v1.1-5038	Tc05v2_t011290.1	100	699	0	0	1	699	592	1290	0	1291
WYIG-5038	Tc05v2_t011290.2	91.989	699	56	0	1	699	595	1293	0	981
WYIG-5038	Tc05v2_t011290.1	91.989	699	56	0	1	699	592	1290	0	981
ZSAB-5038	Tc05v2_t011290.2	91.714	700	56	2	1	699	595	1293	0	970
ZSAB-5038	Tc05v2_t011290.1	91.714	700	56	2	1	699	592	1290	0	970
WYIG-6110	Tc01v2_t008710.1	90.323	341	31	2	1	340	1	340	6.83E-125	446
OLXF-6110	Tc01v2_t008710.1	89.412	340	36	0	1	340	1	340	6.88E-120	429
ZSAB-6110	Tc01v2_t008710.1	89.118	340	37	0	1	340	1	340	3.2E-118	424
BYNZ-6016	Tc04v2_t011880.1	78.778	966	193	12	33	992	228	1187	0	638
FUPX-6016	Tc04v2_t011880.1	79.393	922	180	10	1	917	217	1133	0	641
HWUP-6016	Tc04v2_t011880.1	79.208	808	166	2	36	842	228	1034	6.08E-159	560
INSP-6016	Tc04v2_t011880.1	86.159	932	122	5	36	965	228	1154	0	1000
Orysa-6016	Tc04v2_t011880.1	81.476	637	114	4	46	680	265	899	1.66E-146	520
WYIG_grafted_with_INSP-6016	Tc04v2_t011880.1	88.77	935	103	2	26	959	221	1154	0	1144
HXCD-5489	Tc07v2_t008710.2	79.498	717	131	11	60	771	624	1329	1.6E-139	496
WWKL-5489	Tc07v2_t008710.2	85.621	765	97	6	216	978	591	1344	0	791
WWKL-5489	Tc07v2_t008710.1	86.313	453	62	0	216	668	591	1043	7.2E-139	494
JSZD-6620	Tc05v2_t001160.1	84.026	626	95	4	23	647	263	884	3.49E-170	597
WYIG_grafted_with_JSZD-6620	Tc05v2_t001160.1	86.991	638	83	0	7	644	247	884	0	719
JPDJ-5200	Tc04v2_t025770.1	84.641	599	88	3	1	597	307	903	4.14E-169	593
WYIG-5200	Tc04v2_t025770.1	88.926	596	66	0	1	596	307	902	0	736
ZSAB-5200	Tc04v2_t025770.1	90.217	552	54	0	1	552	352	903	0	721
OLXF-5200	Tc04v2_t025770.1	91.497	588	50	0	10	597	316	903	0	809
FYTP-6780	Tc03v2_t004440.1	86	350	48	1	23	372	258	606	3.58E-103	374
HYZL-6780	Tc03v2_t004440.1	87.535	353	44	0	20	372	254	606	9.81E-114	409
HYZL-6780	Tc03v2_t004440.2	87.938	257	31	0	116	372	263	519	4.76E-82	303
THHD-6780	Tc03v2_t004440.1	90.286	350	34	0	19	368	253	602	9.6E-129	459
THHD-6780	Tc03v2_t004440.2	90.514	253	24	0	116	368	263	515	1.69E-91	335
VYGG-6780	Tc03v2_t004440.1	88.116	345	41	0	28	372	262	606	2.73E-114	411
