queryHit,dbHit
Tc03v2_t013950.2,WYIG_grafted_with_BCAA-6955
Tc03v2_t013950.2,OLXF-6955
Tc03v2_t021440.3,OLXF_grafted_with_NUZN-5428
Tc03v2_t021440.3,NUZN-5428
Tc03v2_t016780.1,WYIG-4691
Tc03v2_t016780.1,THHD-4691
Tc03v2_t016780.1,QUTB-4691
Tc03v2_t016780.1,UMUL-4691
Tc03v2_t016780.1,Ambtr-4691
Tc03v2_t019120.1,OLXF-5968
Tc03v2_t003330.7,WYIG-6738
Tc03v2_t021440.4,OLXF_grafted_with_NUZN-5428
Tc03v2_t021440.4,NUZN-5428
Tc03v2_t016700.1,ZSAB-6488
Tc03v2_t016700.1,WYIG_grafted_with_LFOG-6488
Tc03v2_t016700.1,LFOG-6488
Tc03v2_t016700.1,MAQO-6488
Tc03v2_t016700.1,QTJY-6488
Tc03v2_t000270.3,VFFP-6792
Tc03v2_t000270.3,WYIG_grafted_with_QUTB-6792
Tc03v2_t000270.3,QUTB-6792
Tc03v2_t024790.2,OLXF_grafted_with_HAEU-6034
Tc03v2_t024790.2,HAEU-6034
Tc03v2_t004440.1,WYIG-6780
Tc03v2_t004440.1,THHD-6780
Tc03v2_t004440.1,OLXF-6780
Tc03v2_t004440.1,VYGG-6780
Tc03v2_t004440.1,HYZL-6780
Tc03v2_t004440.1,FYTP-6780
Tc03v2_t003330.1,WYIG-6738
Tc03v2_t010210.2,WYIG_grafted_with_NUZN-6383
Tc03v2_t010210.2,OLXF_grafted_with_NUZN-6383
Tc03v2_t010210.2,NUZN-6383
Tc03v2_t010210.2,GIPR-6383
Tc03v2_t013950.1,WYIG_grafted_with_BCAA-6955
Tc03v2_t013950.1,OLXF-6955
Tc03v2_t007230.1,ZSAB-7572
Tc03v2_t007230.1,WYIG-7572
Tc03v2_t000350.3,WYIG-6531
Tc03v2_t000350.3,OLXF_grafted_with_NUZN-6531
Tc03v2_t007040.4,ZSAB-6631
Tc03v2_t007040.4,BJKT-6631
Tc03v2_t000020.2,OLXF_grafted_with_BCAA-6565
Tc03v2_t010730.1,Theca-v1.1-7028
Tc03v2_t010730.1,ZSAB_grafted_with_Theca-v1.1-7028
Tc03v2_t026690.1,ZSAB_grafted_with_VUSY-6098
Tc03v2_t026690.1,VUSY-6098
Tc03v2_t026690.1,OLXF_grafted_with_VUSY-6098
Tc03v2_t026690.1,OLXF_grafted_with_VUSY-6098
Tc03v2_t026690.1,QSKP-6098
Tc03v2_t026690.1,Arath-6098
Tc03v2_t026690.1,DRIL-6098
Tc03v2_t026690.1,Orysa-6098
Tc03v2_t026750.1,Theca-v1.1-5123
Tc03v2_t026750.1,OLXF_grafted_with_Theca-v1.1-5123
Tc03v2_t026750.1,YKQR-5123
Tc03v2_t026750.1,HLJG-5123
Tc03v2_t026750.1,ZSAB_grafted_with_Theca-v1.1-5123
Tc03v2_t026750.1,ZSAB_grafted_with_Theca-v1.1-5123
Tc03v2_t026750.1,NCVK-5123
Tc03v2_t007040.3,ZSAB-6631
Tc03v2_t009010.1,OLXF_grafted_with_THHD-6119
Tc03v2_t009010.1,THHD-6119
Tc03v2_t009010.1,XHKT-6119
Tc03v2_t009010.1,Phavu-v1.0-6119
Tc03v2_t009010.1,BZDF-6119
Tc03v2_t009010.1,IRAF-6119
Tc03v2_t009010.1,IRAF-6119
Tc03v2_t009010.1,PJSX-6119
Tc03v2_t019240.1,OLXF_grafted_with_VYGG-7361
Tc03v2_t019240.1,VYGG-7361
Tc03v2_t010210.1,WYIG_grafted_with_NUZN-6383
Tc03v2_t010210.1,OLXF_grafted_with_NUZN-6383
Tc03v2_t010210.1,NUZN-6383
Tc03v2_t010210.1,GIPR-6383
Tc03v2_t026370.1,ZSAB-5974
Tc03v2_t026370.1,NUZN-5974
Tc03v2_t000270.2,VFFP-6792
Tc03v2_t000270.2,WYIG_grafted_with_QUTB-6792
Tc03v2_t000270.2,QUTB-6792
Tc03v2_t003330.2,WYIG-6738
Tc03v2_t024790.1,OLXF_grafted_with_HAEU-6034
Tc03v2_t024790.1,HAEU-6034
Tc03v2_t003030.1,ZSAB_grafted_with_OXYP-6507
Tc03v2_t012070.1,ZSAB-6064
Tc03v2_t015980.1,OLXF_grafted_with_CZPV-5842
Tc03v2_t015980.1,WYIG_grafted_with_CZPV-5842
Tc03v2_t015980.1,ZSAB_grafted_with_CZPV-5842
Tc03v2_t026760.1,Theca-v1.1-5123
Tc03v2_t021110.1,OLXF-6398
Tc03v2_t000020.1,OLXF_grafted_with_BCAA-6565
Tc03v2_t021440.1,OLXF_grafted_with_NUZN-5428
Tc03v2_t021440.1,NUZN-5428
Tc03v2_t025680.1,WWKL-5944
Tc03v2_t025680.1,Arath-5944
Tc03v2_t007040.2,ZSAB-6631
Tc03v2_t007040.2,BJKT-6631
Tc03v2_t000350.1,WYIG-6531
Tc03v2_t000350.1,OLXF_grafted_with_NUZN-6531
Tc03v2_t019240.2,OLXF_grafted_with_VYGG-7361
Tc03v2_t019240.2,VYGG-7361
Tc03v2_t019240.2,ZHEE-7361
Tc03v2_t011530.1,WYIG_grafted_with_NUZN-5910
Tc03v2_t027140.2,OLXF-6226
Tc03v2_t027140.2,TDTF-6226
Tc03v2_t000270.1,WYIG_grafted_with_QUTB-6792
Tc03v2_t000270.1,QUTB-6792
Tc03v2_t015980.2,OLXF_grafted_with_CZPV-5842
Tc03v2_t015980.2,WYIG_grafted_with_CZPV-5842
Tc03v2_t015980.2,ZSAB_grafted_with_CZPV-5842
Tc03v2_t006880.1,ZSAB_grafted_with_THHD-5404
Tc03v2_t006880.1,THHD-5404
Tc03v2_t013950.3,WYIG_grafted_with_BCAA-6955
Tc03v2_t013950.3,OLXF-6955
Tc03v2_t010560.1,OLXF_grafted_with_VUSY-5644
Tc03v2_t010560.1,WYIG_grafted_with_UZWG-5644
Tc03v2_t010560.1,ZSAB_grafted_with_UZWG-5644
Tc03v2_t010560.1,UZWG-5644
Tc03v2_t007040.1,ZSAB-6631
Tc03v2_t007040.1,BJKT-6631
Tc03v2_t023890.1,OLXF-5090
Tc03v2_t003330.8,WYIG-6738
Tc03v2_t025680.2,WWKL-5944
Tc03v2_t025680.2,Arath-5944
Tc03v2_t021440.2,OLXF_grafted_with_NUZN-5428
Tc03v2_t021440.2,NUZN-5428
Tc03v2_t000350.2,WYIG-6531
Tc03v2_t000350.2,OLXF_grafted_with_NUZN-6531
Tc03v2_t010560.2,WYIG_grafted_with_UZWG-5644
Tc03v2_t010560.2,ZSAB_grafted_with_UZWG-5644
Tc03v2_t010560.2,UZWG-5644
Tc03v2_t010560.2,OLXF_grafted_with_VUSY-5644
Tc03v2_t001080.1,OLXF-6782
Tc03v2_t001080.1,QUTB-6782
Tc03v2_t009380.1,WYIG_grafted_with_VUSY-5716
Tc03v2_t009380.1,ZSAB_grafted_with_LVUS-5716
Tc03v2_t009380.1,OLXF_grafted_with_LVUS-5716
Tc03v2_t009380.1,Poptr-v3.0-5716
Tc03v2_t009380.1,IDAU-5716
Tc03v2_t001070.1,WYIG-5032
Tc03v2_t001070.1,BCAA-5032
Tc03v2_t001070.1,CCID-5032
Tc03v2_t001070.1,AEPI-5032
Tc03v2_t027140.1,OLXF-6226
Tc03v2_t027140.1,TDTF-6226
Tc03v2_t004440.2,WYIG-6780
Tc03v2_t004440.2,THHD-6780
Tc03v2_t004440.2,OLXF-6780
Tc03v2_t004440.2,VYGG-6780
Tc03v2_t004440.2,HYZL-6780
TcUnv2_t001740.1,ZSAB_grafted_with_QUTB-6679
TcUnv2_t000300.1,WYIG-6284
TcUnv2_t000300.1,ZSAB_grafted_with_THHD-6284
TcUnv2_t000300.1,THHD-6284
TcUnv2_t000300.1,AIOU-6284
Tc07v2_t002100.1,OLXF-6954
Tc07v2_t002100.1,ZSAB_grafted_with_NUZN-6954
Tc07v2_t002100.1,EILE-6954
Tc07v2_t002100.1,NUZN-6954
Tc07v2_t002100.2,OLXF-6954
Tc07v2_t002100.2,ZSAB_grafted_with_NUZN-6954
Tc07v2_t002100.2,NUZN-6954
Tc07v2_t006300.1,WYIG-6378
Tc07v2_t006300.1,OLXF_grafted_with_WVEF-6378
Tc07v2_t006300.1,WVEF-6378
Tc07v2_t010420.1,ZSAB_grafted_with_QUTB-5206
Tc07v2_t010420.1,WAXR-5206
Tc07v2_t010420.1,UMUL-5206
Tc07v2_t003890.1,OLXF-5744
Tc07v2_t003890.1,WYIG-5744
Tc07v2_t006820.1,WYIG_grafted_with_HAEU-6128
Tc07v2_t006820.1,ZSAB_grafted_with_RZTJ-6128
Tc07v2_t006820.1,RZTJ-6128
Tc07v2_t006820.1,HAEU-6128
Tc07v2_t006820.1,RSPO-6128
Tc07v2_t006820.1,BWRK-6128
Tc07v2_t003090.1,WYIG-5822
Tc07v2_t003090.1,TIUZ-5822
Tc07v2_t003090.1,HAEU-5822
Tc07v2_t003910.1,ZSAB-7324
Tc07v2_t003910.1,MVSE-7324
Tc07v2_t003910.1,WYIG_grafted_with_MVSE-7324
Tc07v2_t003910.1,CPKP-7324
Tc07v2_t004420.1,ZSAB-6860
Tc07v2_t004420.1,WYIG_grafted_with_HYZL-6860
Tc07v2_t000910.1,ZSAB_grafted_with_HYZL-5464
Tc07v2_t008710.1,WWKL-5489
Tc07v2_t003180.1,WYIG-5304
Tc07v2_t003180.1,NHUA-5304
Tc07v2_t002100.3,OLXF-6954
Tc07v2_t002100.3,ZSAB_grafted_with_NUZN-6954
Tc07v2_t002100.3,NUZN-6954
Tc07v2_t000910.2,ZSAB_grafted_with_HYZL-5464
