queryHit,dbHit
Tc03v2_t016780.1,WYIG-4691
Tc03v2_t019120.1,OLXF-5968
Tc03v2_t016700.1,ZSAB-6488
Tc03v2_t000270.3,VFFP-6792
Tc03v2_t004440.1,WYIG-6780
Tc03v2_t007230.1,ZSAB-7572
Tc03v2_t007040.4,ZSAB-6631
Tc03v2_t010730.1,Theca-v1.1-7028
Tc03v2_t026690.1,ZSAB_grafted_with_VUSY-6098
Tc03v2_t026750.1,Theca-v1.1-5123
Tc03v2_t009010.1,OLXF_grafted_with_THHD-6119
Tc03v2_t010210.1,WYIG_grafted_with_NUZN-6383
Tc03v2_t026370.1,ZSAB-5974
Tc03v2_t024790.1,OLXF_grafted_with_HAEU-6034
Tc03v2_t003030.1,ZSAB_grafted_with_OXYP-6507
Tc03v2_t012070.1,ZSAB-6064
Tc03v2_t021110.1,OLXF-6398
Tc03v2_t000020.1,OLXF_grafted_with_BCAA-6565
Tc03v2_t019240.2,OLXF_grafted_with_VYGG-7361
Tc03v2_t011530.1,WYIG_grafted_with_NUZN-5910
Tc03v2_t015980.2,OLXF_grafted_with_CZPV-5842
Tc03v2_t006880.1,ZSAB_grafted_with_THHD-5404
Tc03v2_t013950.3,WYIG_grafted_with_BCAA-6955
Tc03v2_t010560.1,OLXF_grafted_with_VUSY-5644
Tc03v2_t023890.1,OLXF-5090
Tc03v2_t003330.8,WYIG-6738
Tc03v2_t025680.2,WWKL-5944
Tc03v2_t021440.2,OLXF_grafted_with_NUZN-5428
Tc03v2_t000350.2,WYIG-6531
Tc03v2_t001080.1,OLXF-6782
Tc03v2_t009380.1,WYIG_grafted_with_VUSY-5716
Tc03v2_t001070.1,WYIG-5032
Tc03v2_t027140.1,OLXF-6226
TcUnv2_t001740.1,ZSAB_grafted_with_QUTB-6679
TcUnv2_t000300.1,WYIG-6284
Tc07v2_t002100.1,OLXF-6954
Tc07v2_t010420.1,ZSAB_grafted_with_QUTB-5206
Tc07v2_t003890.1,OLXF-5744
Tc07v2_t006820.1,WYIG_grafted_with_HAEU-6128
Tc07v2_t003090.1,WYIG-5822
Tc07v2_t003910.1,ZSAB-7324
Tc07v2_t000910.1,ZSAB_grafted_with_HYZL-5464
Tc07v2_t010820.1,OLXF_grafted_with_VYGG-6051
Tc07v2_t008860.1,ZSAB-6652
Tc07v2_t003180.2,WYIG-5304
Tc07v2_t006300.2,WYIG-6378
Tc07v2_t008070.1,OLXF-5893
Tc07v2_t002430.1,WYIG-5770
Tc07v2_t004420.2,ZSAB-6860
Tc07v2_t001300.1,ZSAB_grafted_with_HQRJ-5449
Tc07v2_t006000.1,WWKL-6968
Tc07v2_t008710.2,WWKL-5489
Tc04v2_t025150.1,OLXF-7628
Tc04v2_t025770.1,OLXF-5200
Tc04v2_t018900.1,WYIG-5318
Tc04v2_t023690.1,WYIG_grafted_with_THHD-7128
Tc04v2_t000800.1,WYIG-6487
Tc04v2_t008790.1,ZSAB-7313
Tc04v2_t015390.1,WYIG-7279
Tc04v2_t023010.1,WYIG_grafted_with_TJLC-6717
Tc04v2_t003380.1,PTLU-6552
Tc04v2_t016260.1,ZSAB-6992
Tc04v2_t004150.1,OLXF-6641
Tc04v2_t023930.1,OLXF-5339
Tc04v2_t013710.2,OLXF-6506
Tc04v2_t025830.1,ZSAB_grafted_with_TIUZ-6221
Tc04v2_t017050.2,OLXF_grafted_with_HAEU-6460
Tc04v2_t005100.3,NCVK-5699
Tc04v2_t006900.2,OLXF_grafted_with_HAEU-5921
Tc04v2_t024140.1,ZSAB_grafted_with_YKQR-5343
Tc04v2_t012370.1,WYIG-6864
Tc04v2_t005270.1,OLXF_grafted_with_WWKL-4793
Tc04v2_t001770.2,THHD-6048
Tc04v2_t003200.1,ZSAB_grafted_with_QIKZ-7577
Tc04v2_t017790.2,OLXF-6458
Tc04v2_t014020.2,WYIG_grafted_with_TJLC-5131
Tc04v2_t025780.1,ZSAB_grafted_with_YKQR-5162
Tc04v2_t021240.1,WYIG-6746
Tc04v2_t021120.1,OLXF-6412
Tc04v2_t010850.1,WYIG-5513
Tc04v2_t000670.1,PTLU-7141
Tc04v2_t010030.4,ZSAB-6384
Tc04v2_t025720.1,OLXF-5260
Tc04v2_t015240.1,WYIG_grafted_with_HQRJ-6387
Tc04v2_t018260.1,OLXF-4796
Tc04v2_t002450.3,NGRR-5434
Tc04v2_t004910.2,WYIG-4954
Tc04v2_t000990.2,OLXF-5271
Tc04v2_t022960.1,WYIG_grafted_with_XNLP-5670
Tc04v2_t001710.1,WYIG_grafted_with_YKQR-5454
Tc04v2_t003090.1,ZSAB-6150
Tc04v2_t011880.1,WYIG_grafted_with_INSP-6016
Tc04v2_t001630.1,TIUZ-5977
Tc04v2_t021700.2,WYIG-5940
Tc04v2_t010080.2,WYIG-4806
Tc02v2_t016310.1,OLXF-6636
Tc02v2_t014080.1,WYIG-6270
Tc02v2_t022020.1,ZSAB-6026
