Query	Subject	pident	length	mismatch	gaopen	qstart	qend	sstart	send	evalue	bitscore
Tc10v2_t003850.1	WYIG_grafted_with_THHD-5333	87.558	2363	284	7	1567	3927	13	2367	0	2726
Tc01v2_t002170.1	OLXF-5599	90.236	1946	190	0	238	2183	1	1946	0	2542
Tc05v2_t020620.1	WYIG_grafted_with_OMDH-5614	85.963	2237	299	10	49	2279	13	2240	0	2377
Tc05v2_t020620.2	WYIG_grafted_with_OMDH-5614	85.963	2237	299	10	49	2279	13	2240	0	2377
Tc10v2_t001090.1	WYIG-6318	92.982	1539	108	0	1006	2544	1	1539	0	2244
Tc01v2_t014340.1	ZSAB_grafted_with_HAEU-5943	89.708	1749	177	3	766	2514	22	1767	0	2230
Tc06v2_t010430.1	WYIG_grafted_with_THHD-6544	84.776	2253	310	27	564	2795	21	2261	0	2230
Tc06v2_t010430.1	OLXF_grafted_with_THHD-6544	84.622	2250	313	27	564	2795	21	2255	0	2207
Tc06v2_t010430.1	ZSAB_grafted_with_THHD-6544	84.475	2248	296	35	564	2795	21	2231	0	2169
Tc03v2_t009010.1	OLXF_grafted_with_THHD-6119	83.933	2278	344	17	217	2486	1	2264	0	2159
Tc04v2_t000800.1	WYIG-6487	91.474	1560	133	0	334	1893	1	1560	0	2145
Tc10v2_t001090.1	ZSAB_grafted_with_THHD-6318	88.825	1745	182	5	799	2541	1	1734	0	2130
Tc02v2_t012400.1	WYIG-6176	91.509	1531	128	2	121	1650	4	1533	0	2106
Tc06v2_t010430.1	THHD-6544	83.586	2242	333	23	564	2795	21	2237	0	2069
Tc02v2_t012400.1	OLXF-6176	91.035	1517	133	1	130	1646	13	1526	0	2047
Tc04v2_t006900.1	OLXF_grafted_with_HAEU-5921	85.96	1916	260	8	1822	3734	43	1952	0	2039
Tc04v2_t006900.2	OLXF_grafted_with_HAEU-5921	85.96	1916	260	8	1822	3734	43	1952	0	2039
Tc01v2_t014340.1	HAEU-5943	87.364	1749	218	3	766	2514	22	1767	0	2002
Tc01v2_t024040.1	OLXF_grafted_with_QUTB-4992	87.004	1739	220	3	262	2000	1	1733	0	1991
Tc01v2_t020750.1	OLXF-6500	92.242	1405	107	2	466	1869	1	1404	0	1989
Tc01v2_t020750.2	OLXF-6500	92.242	1405	107	2	466	1869	1	1404	0	1989
Tc05v2_t006120.1	ZSAB-6366	90.131	1530	149	2	1303	2831	1	1529	0	1988
Tc05v2_t006120.2	ZSAB-6366	90.131	1530	149	2	1303	2831	1	1529	0	1988
Tc05v2_t006120.3	ZSAB-6366	90.131	1530	149	2	1303	2831	1	1529	0	1988
Tc04v2_t000800.1	OLXF_grafted_with_QAUE-6487	88.459	1655	172	9	256	1893	1	1653	0	1984
Tc10v2_t003850.1	ZSAB_grafted_with_THHD-5333	84.997	1933	270	7	1567	3498	13	1926	0	1945
Tc10v2_t008650.1	WYIG_grafted_with_NUZN-5816	86.315	1783	223	13	232	1997	1	1779	0	1921
Tc04v2_t006900.1	HAEU-5921	84.178	1915	296	6	1822	3734	43	1952	0	1851
Tc04v2_t006900.2	HAEU-5921	84.178	1915	296	6	1822	3734	43	1952	0	1851
Tc01v2_t024040.1	QUTB-4992	85.763	1749	238	4	262	2000	1	1748	0	1840
Tc04v2_t017790.1	OLXF-6458	93.131	1252	86	0	119	1370	2	1253	0	1836
Tc04v2_t017790.2	OLXF-6458	93.131	1252	86	0	113	1364	2	1253	0	1836
Tc03v2_t009010.1	THHD-6119	83.526	1985	305	17	217	2193	1	1971	0	1834
Tc10v2_t001090.1	THHD-6318	85.682	1746	241	8	799	2538	1	1743	0	1831
Tc08v2_t012630.1	ZSAB_grafted_with_QUTB-5163	86.136	1695	231	4	1	1693	1	1693	0	1827
Tc05v2_t020620.1	ZSAB_grafted_with_OMDH-5614	85.189	1796	248	10	49	1838	13	1796	0	1827
Tc05v2_t020620.2	ZSAB_grafted_with_OMDH-5614	85.189	1796	248	10	49	1838	13	1796	0	1827
Tc10v2_t003850.1	THHD-5333	83.859	1933	292	7	1567	3498	13	1926	0	1823
Tc09v2_t018620.1	OLXF_grafted_with_HAEU-5398	88.934	1482	155	6	349	1827	7	1482	0	1820
Tc02v2_t011560.1	OLXF-5326	91.373	1333	98	5	322	1638	1	1332	0	1808
Tc01v2_t024040.1	ZSAB_grafted_with_KKDQ-4992	85.84	1702	241	0	298	1999	37	1738	0	1808
Tc04v2_t006900.1	UZWG-5921	83.602	1921	296	16	1822	3734	1588	3497	0	1784
Tc04v2_t006900.2	UZWG-5921	83.602	1921	296	16	1822	3734	1588	3497	0	1784
Tc08v2_t003130.1	ZSAB_grafted_with_HYZL-4848	87.204	1563	189	9	245	1803	2	1557	0	1768
Tc05v2_t020620.1	OLXF_grafted_with_OMDH-5614	85.604	1681	228	9	49	1725	7	1677	0	1751
Tc05v2_t020620.2	OLXF_grafted_with_OMDH-5614	85.604	1681	228	9	49	1725	7	1677	0	1751
Tc02v2_t021130.1	ZSAB-7174	89.648	1362	138	1	352	1710	1	1362	0	1731
Tc08v2_t012630.1	QUTB-5163	85.133	1695	248	4	1	1693	1	1693	0	1731
Tc01v2_t020750.1	ZSAB_grafted_with_HYZL-6500	88.865	1401	149	6	471	1869	6	1401	0	1716
Tc01v2_t020750.2	ZSAB_grafted_with_HYZL-6500	88.865	1401	149	6	471	1869	6	1401	0	1716
Tc01v2_t002170.1	WYIG_grafted_with_HAEU-5599	91.266	1248	109	0	238	1485	1	1248	0	1701
Tc09v2_t018620.1	WYIG_grafted_with_HAEU-5398	88.666	1394	155	1	149	1542	2	1392	0	1696
Tc09v2_t004800.2	WYIG-6295	91.914	1212	89	5	244	1446	1	1212	0	1687
Tc09v2_t004800.1	WYIG-6295	91.914	1212	89	5	244	1446	1	1212	0	1687
Tc01v2_t025170.1	THHD-6041	86.614	1509	200	2	319	1826	142	1649	0	1666
Tc01v2_t025170.2	THHD-6041	86.614	1509	200	2	319	1826	142	1649	0	1666
Tc01v2_t006340.5	OLXF_grafted_with_QUTB-5264	89.291	1326	140	2	211	1535	1	1325	0	1661
Tc03v2_t026690.1	ZSAB_grafted_with_VUSY-6098	86.892	1480	192	2	37	1515	1	1479	0	1657
Tc07v2_t008860.1	ZSAB-6652	91.723	1184	98	0	554	1737	20	1203	0	1644
Tc09v2_t029120.3	OLXF_grafted_with_LNER-5280	90.442	1245	119	0	31	1275	1	1245	0	1640
Tc09v2_t029120.2	OLXF_grafted_with_LNER-5280	90.442	1245	119	0	31	1275	1	1245	0	1640
Tc09v2_t029120.1	OLXF_grafted_with_LNER-5280	90.442	1245	119	0	31	1275	1	1245	0	1640
Tc09v2_t029120.4	OLXF_grafted_with_LNER-5280	90.442	1245	119	0	31	1275	1	1245	0	1640
Tc05v2_t000730.1	WYIG-6924	91.326	1199	101	1	289	1487	1	1196	0	1637
Tc08v2_t003130.1	OLXF_grafted_with_HYZL-4848	89.696	1281	129	1	250	1530	1	1278	0	1631
